N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
141,롯데정밀화학,"87,400","3,500",-3.85%,"5,000","22,549","25,800",21.23,"241,936",9.19,12.65,
142,현대차우,"92,300",200,+0.22%,"5,000","22,481","24,357",58.80,"23,451",6.69,N/A,
143,DB하이텍,"50,300","1,300",-2.52%,"5,000","22,332","44,399",16.19,"284,071",13.37,23.07,
144,TIGER 200,"38,650",250,-0.64%,0,"22,282","57,650",0.00,"318,151",N/A,N/A,
145,KODEX 200선물인버스2X,"2,355",30,+1.29%,0,"22,085","937,800",3.59,"153,118,695",N/A,N/A,
146,TIGER 차이나전기차SOLACTIVE,"16,990",5,+0.03%,0,"21,944","129,160",2.42,"510,241",N/A,N/A,
147,일진하이솔루스,"59,900","3,100",-4.92%,500,"21,752","36,313",3.62,"204,473",111.75,34.27,
148,현대위아,"76,800","1,600",+2.13%,"5,000","20,886","27,195",8.55,"184,458",20.55,1.96,
149,KODEX 단기채권,"102,945",10,+0.01%,0,"20,555","19,967",0.00,"4,319",N/A,N/A,
150,후성,"21,800","1,000",+4.81%,500,"20,188","92,607",4.61,"17,513,590",201.85,2.79,
151,LS,"62,000",0,0.00%,"5,000","19,964","32,200",14.21,"36,835",8.04,3.94,
152,영원무역,"44,200",750,-1.67%,500,"19,586","44,311",27.61,"50,783",10.45,8.03,
153,LS ELECTRIC,"64,400","1,300",-1.98%,"5,000","19,320","30,000",18.09,"42,482",21.06,6.15,
154,현대백화점,"82,400",600,+0.73%,"5,000","19,284","23,402",19.23,"83,999",14.89,1.65,
155,현대엘리베이,"47,200","1,150",-2.38%,"5,000","19,265","40,815",26.72,"135,880",19.99,9.78,
156,대한전선,"2,205",65,-2.86%,500,"18,885","856,473",1.99,"4,328,304",-116.05,0.92,
157,한전기술,"48,550","2,950",-5.73%,200,"18,556","38,220",3.00,"413,337",89.74,N/A,
158,한전KPS,"41,200",300,-0.72%,200,"18,540","45,000",8.54,"215,101",18.98,8.23,
159,아시아나항공,"24,550","2,050",-7.71%,"5,000","18,268","74,412",9.22,"2,046,993",-26.68,-43.83,
